X,Y,Z,C2M_distances,C2M_min_max
-16.44565582,-17.94891739,12.0253315,-0.563123,
-17.30748749,-17.85046196,12.75354958,-0.506258,
-18.18375587,-17.77223587,13.58502007,-0.476098,
-19.07569313,-17.73243904,14.29849434,-0.324692,
-19.98996353,-17.67696762,14.9200983,-0.115575,
-20.93548203,-17.64454651,15.46250725,0.188917,
-21.86200905,-17.61885071,15.91632652,0.539439,
-22.79869652,-17.5826664,16.33412743,0.919208,
-23.73885727,-17.56620026,16.72809601,1.345056,
-24.6973362,-17.54477119,17.09274292,1.796442,
-25.65736389,-17.52694321,17.4249115,2.275543,
-26.62116814,-17.51536751,17.73771858,2.79152,
-27.58890152,-17.50395966,18.03265381,3.319848,
-28.56170845,-17.49660683,18.31189919,3.884564,
-29.53808403,-17.48993492,18.57491112,4.562134,
-30.51645088,-17.4852829,18.82333755,5.315598,
-31.49846077,-17.48172379,19.05867577,6.110271,
-32.4809227,-17.48008919,19.28165245,6.929599,
-33.46649551,-17.47915077,19.49381638,7.772944,
-34.45294189,-17.47961235,19.69533539,8.647296,
-35.44101334,-17.48072243,19.88738632,9.531442,
-36.43141937,-17.48297501,20.0697155,10.422458,
-37.42319489,-17.48582077,20.24224854,11.317757,
-38.41999435,-17.48938751,20.40349007,12.221053,
-39.41886902,-17.49274254,20.55107498,13.13882,
-40.42657852,-17.49713516,20.68122673,14.075334,
-41.44543457,-17.5005188,20.78344345,15.021878,
41.44820023,-18.49982262,20.78548813,15.40985,
40.43082428,-18.49538994,20.68990517,14.478624,
39.42417526,-18.4913559,20.56986427,13.566387,
38.42332458,-18.48650742,20.4335537,12.659863,
37.42669678,-18.4833374,20.28517151,11.758451,
36.43183899,-18.48042297,20.12643623,10.859988,
35.43897629,-18.47872543,19.95805931,9.967812,
34.44709015,-18.47803116,19.77997589,9.097733,
33.45701599,-18.47927094,19.59246063,8.243391,
32.46686172,-18.48150444,19.39424515,7.396812,
31.47934151,-18.48654366,19.18553734,6.565014,
30.49088287,-18.49246216,18.96446991,5.754548,
29.50605583,-18.50171089,18.7318821,5.000802,
28.52030945,-18.51500511,18.48602486,4.292614,
27.53623199,-18.53099823,18.22445488,3.658759,
26.55465698,-18.55027008,17.94824219,3.119177,
25.57220459,-18.57849121,17.65472984,2.617559,
24.59278297,-18.60859299,17.34158897,2.129352,
23.61147881,-18.65375519,17.00676727,1.664455,
22.63342285,-18.70087242,16.64255142,1.245391,
21.65958977,-18.75286865,16.25073624,0.847508,
20.68332291,-18.81664467,15.83551788,0.482474,
19.69892502,-18.91605949,15.39182281,0.166879,
18.70952034,-18.99637794,14.85910797,-0.102048,
17.72696304,-19.09288406,14.23140621,-0.285837,
16.76493835,-19.21549797,13.64544296,-0.440945,
15.72515965,-19.34073639,12.91308308,-0.543931,
14.73107624,-19.46684265,12.19085884,-0.591802,
13.66824627,-19.56516457,11.36820221,-0.619825,
12.63330269,-19.60951614,10.62675285,-0.68153,
11.44028664,-19.60276985,9.83183765,-0.764837,
10.36258698,-19.52142334,9.08224487,-0.79169,
9.1970911,-19.42152786,8.33416748,-0.807878,
8.20878029,-19.2912426,7.76910782,-0.827651,
7.06970835,-19.19535446,7.28312206,-0.867143,
6.00534964,-19.18816376,6.88970661,-0.830598,
5.05048943,-19.03113937,6.47307873,-0.828012,
3.99250984,-19.00073814,6.16906929,-0.785975,
2.95821142,-18.97612762,5.98121262,-0.776742,
1.95422029,-18.97403526,5.84694099,-0.758006,
0.96018517,-18.97021484,5.76506805,-0.747485,
-0.09192941,-18.82571793,5.65486717,-0.77424,
-1.10545456,-18.77909851,5.61588097,-0.755819,
-2.08321929,-18.81012154,5.76094818,-0.795368,
-3.18282604,-18.8264389,5.86977482,-0.766195,
-4.10332203,-18.68506241,5.93232918,-0.786603,
